,City,distanceTlv
0,Acre,98.3
1,Nahariya,106.8
2,Beer Sheva,
3,Masada,102.0
4,It was a miracle,
5,Village Roses,
6,Yeruham,122.2
7,Zichron Yaakov,
8,Herzliya,10.2
9,Moshav Ramot,
10,Kiryat Shmona,145.6
11,Ein Kinya,
12,Kasserine,
13,The Hiridin Guard,
14,Rishon Lezion,14.6
15,Tarshiha,113.9
16,Petah Tikva,9.7
17,Matula,
18,streets,
19,Herzliya b,
20,on,50.1
21,fresh,
22,Beit Shean,
23,Bloom village,
24,Ain Al Asad,
25,Carrot will return,
26,redness,
27,tulip,
28,Yavnal,
29,Navot Golan,
30,Dalit El Carmel,
31,Al-Rum,
32,Sold village,
33,Givat Yoav,
34,you approve,
35,Onat,
36,the foundation of the higher,
37,Beer Ora,
38,Anyam,
39,Sde Nehemiah,
40,Bucata,
41,toasting,
42,Beit Hillel,147.3
43,Retired,
44,space with,
45,Maya Baruch,
46,November,
47,Dishes,
48,Mailia,
49,Solid stones,
50,keeper,
51,Pardes Hanna,
52,Sipsofa,
53,New Beijing,
54,Rosh Hankara village,
55,Kfar Shammai,
56,Ramat Yishai,78.2
57,Kibbutz Shanir,
58,High fertility,
59,Kiryat Yam,87.9
60,High five,
61,Marom Golan,
62,Sde Boker,134.7
63,The flames of the Bashan,
64,blah,
65,Ein Yaakov,
66,Welcome to Skel Alon,
67,Beit Oren,75.5
68,Adequate square,
69,Kfar Hanania,
70,Matsuka Dragot,
71,elk,117.6
72,Garden of Samaria,
73,sentinel,
74,Kibbutz Mitzpe is complete,
75,Beit Zvi,
76,Kiryat Ono,7.3
77,The Ziv Bridge,
78,honeysuckle,
79,Shave Zion,
80,Yakneam,
81,Menachemia,
82,resef,
83,Kinneret view,
84,her surroundings,
85,cliffs,
86,Migdal Afek,
87,oaks,
88,from money,
89,Mikve Israel,
90,Mitzpe Hila,
91,expecting,
92,intelligence,
93,Shlomo's daughter,
94,Jonathan,
95,Deer Hana,
96,the foundation of the higher,
97,Nir David,79.2
98,Janua,
99,Ben Barak,
100,light,
101,Ayelet Hashahar,128.8
102,Tirat Carmel,78.3
103,harvest mound,
104,Kiryat Amal,
105,Kiryat Ata,85.5
106,Kiryat Hayim,
107,Mashab Sad,
108,Kiryat Motzkin,88.7
109,Amke,
110,Bethlehem of Galilee,
111,Kiryat Shmuel,
112,Kiryat Tiv'on,78.7
113,Bet on Alpha,
114,that the figure of a bee,
115,The Golan Heights,
116,mighty,
117,Givat Avni,
118,Kfar Yona,29.8
119,Jaffa - Tel Aviv,
120,Givat Rambam,
121,Ma'ale Adumim,
122,Desire her,
123,Wheat village,
124,her kingdoms,
125,anemone,
126,Kfar Rupin,
127,Givat Bar,
128,Kfar Shmaryahu,12.4
129,Ramat Shlomo,
130,Eliezer Field,
131,Golan Gate,
132,Kamon,107.3
133,hills,
134,Kiryat Sara,
135,Sde Yoav,
136,Bat Galim,
137,Brener Hill,
138,The method house,
139,sapphire,
140,Guidona,
141,Romet Heev,
142,Olga Hill,
143,Kfar Giladi,
144,Milka beer,
145,Bazara,
146,Tash,
147,Asaf the doctor,
148,Ashdot Yaakov,
149,the sowers,
150,Zuba,
151,onions,
152,tributaries,
153,earing,
154,Hezba,
155,Yaron,
156,Ifat,
157,Hazor Ashdod,
158,coral,
159,Jerusalem,53.8
160,Aloni Bashan,
161,Amikam,
162,Yajur,
163,Givat Shmuel,
164,Umm al Kutop,
165,Amiad,
166,furrows,
167,Kadita,
168,Kfar Tavor,90.4
169,prop,
170,Ein Harod,78.4
171,Even a sapphire,
172,Daubert,
173,In front of a deer,
174,Kiner,
175,Nahal Ya'alon,
176,surges,
177,The ghetto fighter,
178,Gan Shlomo,
179,Ma'ale Gilboa,74.6
180,Mitzpe Netufa,
181,Eye of the Gospel,
182,degrees,
183,Kiryat Binyamin,
184,hoarded,
185,Eliphaz,
186,Even comforting,
187,Eylon,
188,Maor,
189,En Gev,
190,En Hod,
191,from nights,
192,Meir Shafia,
193,position,
194,Carmel,72.5
195,Ness Ziona,16.4
196,Neve Ativ,
197,New fathers,
198,A vineyard from the Harel,
199,Grape picking,
200,Kfar Adumim,
201,Kfar Harob,
202,Beit Shmuel,
203,Bet on Yanai,
204,Ruth village,
205,in a shooting,
206,Paran,
207,ozm,
208,destroyed species,
209,Bukie,
210,Ortel,
211,Or Akiva,48.4
212,Omar,
213,Kuriz,
214,Kibbutz Ginosar,
215,Kibbutz Shafiim,
216,Chinese Nissan,
217,European,
218,New life,
219,Kiryat Haroshet,
